IBOV - Carteira do Dia 17/01/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,254;16,882;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;3.394.804.584;16,223;16,882;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.212.486;0,309;0,309;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.093.112.629;1,806;2,997;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;667.194.478;0,478;2,997;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;589.695.175;0,507;2,997;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.014.562;0,206;2,997;
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;196.144.421;0,448;15,268;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;1,012;15,268;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.484.913.747;4,874;15,268;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;5,687;15,268;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,698;15,268;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,696;15,268;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,853;15,268;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,895;2,387;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,492;2,387;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;351.919.239;0,271;2,863;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.455.957.762;0,951;2,863;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.226.847;0,085;2,863;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.149.694.340;1,556;2,863;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,136;0,919;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.970.941;0,037;0,919;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;520.749.110;0,746;0,919;
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,836;1,327;
Telecomunicação;TIMS3;TIM;ON      NM;808.436.195;0,491;1,327;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,966;0,966;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,845;10,569;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,624;10,569;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,315;10,569;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.871.213.500;3,957;10,569;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;275.526.814;0,612;10,569;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,251;10,569;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,526;10,569;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.576.898.490;1,010;10,569;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,505;10,569;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,530;10,569;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT ED  N2;218.568.234;0,394;10,569;
Quantidade Teórica Total;;;;97.687.557.419;100,000;100,000
Redutor;;;;17.676.281,65255100
